wall_collision, body_collision, head_collision, starvation, food_eaten, game_length
0.0, 0.640625, 0.125, 2.234375, 7.78125, 169.6875
0.0, 1.125, 0.0, 1.875, 13.59375, 241.375
0.0, 1.8125, 0.015625, 1.171875, 20.3125, 281.40625
0.0, 2.765625, 0.125, 0.125, 17.921875, 223.703125
0.0, 2.671875, 0.296875, 0.0625, 14.078125, 156.53125
0.0, 2.65625, 0.359375, 0.0, 15.15625, 163.5625
0.0, 1.46875, 1.609375, 0.0, 7.53125, 65.703125
0.0, 2.21875, 0.765625, 0.015625, 14.75, 132.625
0.0, 1.3125, 1.78125, 0.0, 3.28125, 33.71875
0.0, 1.84375, 1.296875, 0.015625, 3.125, 58.125
0.0, 1.53125, 1.609375, 0.0, 2.125, 23.765625
0.0, 1.5, 1.5625, 0.03125, 3.90625, 45.78125
0.0, 2.21875, 0.71875, 0.09375, 8.828125, 82.90625
0.0, 1.53125, 1.53125, 0.0, 4.515625, 37.828125
0.0, 1.765625, 1.328125, 0.0, 3.328125, 34.859375
0.0, 1.953125, 1.109375, 0.0, 6.078125, 57.015625
0.0, 1.515625, 1.5625, 0.0, 5.109375, 43.25
0.0, 1.90625, 1.109375, 0.0, 7.1875, 53.734375
0.0, 1.875, 1.265625, 0.0, 3.34375, 31.625
0.0, 1.78125, 1.25, 0.015625, 7.5625, 59.046875
0.0, 1.625, 1.40625, 0.0, 6.515625, 50.625
0.0, 2.046875, 0.984375, 0.0, 11.453125, 81.9375
0.0, 2.1875, 0.8125, 0.03125, 7.921875, 50.5
0.0, 1.90625, 1.109375, 0.0, 8.625, 55.0
0.0, 1.46875, 1.578125, 0.0, 7.8125, 53.53125
0.0, 1.875, 1.09375, 0.03125, 10.5, 69.46875
0.0, 1.796875, 1.234375, 0.015625, 11.21875, 69.6875
0.0, 1.78125, 1.296875, 0.015625, 11.90625, 75.859375
0.015625, 1.5625, 1.46875, 0.015625, 11.875, 71.515625
0.0, 1.875, 1.15625, 0.03125, 12.28125, 76.515625
0.0, 1.765625, 1.296875, 0.0, 13.75, 81.40625
0.0, 1.734375, 1.296875, 0.046875, 13.890625, 81.0625
0.0, 1.765625, 1.296875, 0.0, 14.078125, 86.46875
0.0, 1.640625, 1.40625, 0.046875, 14.109375, 84.359375
0.0, 1.8125, 1.125, 0.078125, 13.421875, 87.671875
0.0, 1.734375, 1.34375, 0.015625, 15.5625, 96.734375
0.0, 1.765625, 1.28125, 0.015625, 12.375, 75.609375
0.0, 1.859375, 1.171875, 0.03125, 13.3125, 80.046875
0.0, 1.765625, 1.28125, 0.0, 14.953125, 97.09375
0.0, 1.765625, 1.34375, 0.015625, 13.671875, 95.125
0.0, 1.78125, 1.265625, 0.015625, 15.203125, 98.09375
0.0, 1.671875, 1.375, 0.0, 15.953125, 93.375
0.0, 1.59375, 1.453125, 0.015625, 14.171875, 85.546875
0.015625, 1.3125, 1.78125, 0.015625, 15.6875, 95.984375
0.015625, 1.71875, 1.296875, 0.015625, 18.78125, 110.234375
0.09375, 1.453125, 1.515625, 0.015625, 17.328125, 101.328125
